"n" "ministere_client_" "code_naf" "siren" "direction" "date_prev" "fournisseur_actuel_d_electricite" "nom_du_site" "adresse" "code_postal" "ville" "siret" "rae" "type_de_tarif" "tension_de_raccordement" "p_16" "hph_17" "hch_18" "hpe_19" "hce_20" "hh_ejp_21" "p_ejp_22" "p_23" "hph_24" "hch_25" "hpe_26" "hce_27" "hh_ejp_28" "p_ejp_29" "p_30" "hph_31" "hch_32" "hpe_33" "hce_34" "hh_ejp_35" "p_ejp_36" "total" "electricite_100_verte_oui_non_"
"380" 625 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION DES IMPOTS" "TOUR DE BRETAGNE" "44000" "NANTES" "12002201700046" "30001421932462" "JAUNE Base UL - Pas de Dénivelé" "BT" "42" "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "15556" "2163" "15154" "2922" NA NA "35795" "OUI"
"381" 626 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRCOFI OUEST" "8 RUE DE LA GARDE" "44300" "NANTES" "17350801100017" "30001422084999" "JAUNE Base UM" "BT" NA "102" "102" "102" "102" NA NA "0" "0" "0" "0" "0" NA NA "0" "35569" "18648" "15930" "6480" NA NA "76627" "OUI"
"382" 627 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESOR PUBLIC" "41 B AVENUE DU GENERAL DE GAULLE" "44600" "ST NAZAIRE" "17440211500532" "30001422330507" "JAUNE Base UL - Pas de Dénivelé" "BT" "42" "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "13082" "4826" "10812" "4213" NA NA "32933" "OUI"
"383" 628 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION DES SERVICES FISCAUX" "CITE ADMINISTRATIVE TRAVOT" "85000" "LA ROCHE SUR YON" "17850221700015" "30001430620400" "JAUNE Base UL - Pas de Dénivelé" "BT" "168" "168" "168" "168" "168" NA NA "0" "0" "0" "0" "0" NA NA "0" "136848" "53094" "148921" "60363" NA NA "399226" "OUI"
"384" 629 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "CTRE FINANCES PUBLIQUES" "16 B RUE DE LA CHAUSSEE" "85800" "ST GILLES CROIX DE VIE" "13001022600012" "30001430665598" "JAUNE Base UM" "BT" NA "48" "48" "48" "48" NA NA "0" "0" "0" "0" "0" NA NA "0" "19727" "9457" "10437" "3209" NA NA "42830" "OUI"
"385" 630 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS" "RUE GEORGES CLEMENCEAU" "85180" "CHATEAU D OLONNE" "17850221700395" "30001430736261" "JAUNE Base UM" "BT" NA "72" "72" "72" "72" NA NA "0" "68" "54" "67" "47" NA NA "0" "42045" "14369" "48732" "18030" NA NA "123176" "OUI"
"386" 631 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS" "BOULEVARD ALBERT SCHWEITZER" "85300" "CHALLANS" "17850221700338" "30001430738287" "JAUNE Base UL - Pas de Dénivelé" "BT" "72" "72" "72" "72" "72" NA NA "0" "0" "0" "0" "0" NA NA "0" "48111" "19607" "49721" "20802" NA NA "138241" "OUI"
"387" 632 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS" "RUE SAINTE CATHERINE DES LOGES" "85200" "FONTENAY LE COMTE" "17850221700247" "30001430837289" "JAUNE Base UL - Pas de Dénivelé" "BT" "54" "54" "54" "54" "54" NA NA "0" "0" "0" "0" "0" NA NA "0" "33821" "8070" "38572" "10976" NA NA "91439" "OUI"
"388" 633 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS (SAINT MALO)" "BOULEVARD DES DEPORTES" "35400" "ST MALO" "17350221200843" "30001440097506" "JAUNE Base UL - Pas de Dénivelé" "BT" "144" "144" "144" "144" "144" NA NA "59" "72" "22" "68" "20" NA NA "2900" "58799" "14925" "69604" "16628" NA NA "162856" "OUI"
"389" 634 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS (VITRE)" "7 PLACE DU CHAMP DE FOIRE" "35500" "VITRE" "17350221200322" "30001440196689" "VERT Base A5 MU" "HTA1" "50" "50" "50" "50" "50" NA NA "43" "44" "10" "44" "11" NA NA "4210" "29135" "10909" "39384" "12757" NA NA "96395" "OUI"
"390" 635 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION DES SERVICES FISCAUX" "BOULEVARD DE LA LIBERTE" "35000" "RENNES" "17350221200835" "30001440420723" "VERT Base A5 MU" "BT" "146" "146" "146" "146" "146" NA NA "130" "130" "134" "150" "110" NA NA "15748" "75419" "65325.999999999993" "105874" "64559" NA NA "326926" "OUI"
"391" 636 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DSF 35" "35 BOULEVARD CARNOT" "35160" "MONTFORT SUR MEU" "17350221200215" "30001440530416" "JAUNE Base UL - Pas de Dénivelé" "BT" "66" "66" "66" "66" "66" NA NA "0" "0" "0" "0" "0" NA NA "0" "69309" "20160" "35605" "7583" NA NA "132657" "OUI"
"392" 637 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "LABORATOIRE INTERREGIONAL" "26 RUE ANTOINE JOLY" "35000" "RENNES" "17350253500011" "30001440567620" "VERT Base A5 MU" "HTA1" "70" "70" "70" "70" "70" NA NA "58" "63" "24" "64" "25" NA NA "8082.0000000000009" "45771" "27848" "74306" "39839" NA NA "195846" "OUI"
"393" 638 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "I N S E E" "35 PLACE DU COLOMBIER" "35000" "RENNES" "17350270900012" "30001440574717" "JAUNE Base UL - Pas de Dénivelé" "BT" "78" "78" "78" "78" "78" NA NA "50" "59" "29" "66" "27" NA NA "5691" "35895" "10508" "52064" "15225" NA NA "119383" "OUI"
"394" 639 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS (FOUGERES)" "1 RUE DE BADMUNSTEREIFEL" "35300" "FOUGERES" "17350221200561" "30001440843481" "JAUNE Base UL - Pas de Dénivelé" "BT" "54" "54" "54" "54" "54" NA NA "29" "39" "10" "39" "10" NA NA "1277" "25963" "6510" "32658" "8086" NA NA "74494" "OUI"
"395" 640 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "CENTRE D ENCAISSEMENT AMENDES" "2 ALLEE JACQUES FRIMOT" "35000" "RENNES" "17350211300587" "30001441178174" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "18498" "6135" "22879" "7051" NA NA "54563" "OUI"
"396" 641 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION CONT. FISCAL OUEST" "17 BOULEVARD SOLFERINO" "35000" "RENNES" "17350801100017" "30001441223085" "JAUNE Base UL - Pas de Dénivelé" "BT" "48" "48" "48" "48" "48" NA NA "0" "0" "0" "0" "0" NA NA "0" "42303" "11352" "47843" "14493" NA NA "115991" "OUI"
"397" 642 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION DES SERVICES FISCAUX D ILE ET VILAINE" "1 RUE DES ECOLES" "35600" "REDON" "17350221200280" "30001441491819" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "18014" "5140" "20601" "6723" NA NA "50478" "OUI"
"398" 643 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GENERALE D I ET V" "8 PLACE DU COLOMBIER" "35000" "RENNES" "17350211300017" "30001441635817" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "9084" "1413" "11330" "2333" NA NA "24160" "OUI"
"399" 644 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESOR PUBLIC" "5 BOULEVARD EDOUARD PRIGENT" "22000" "ST BRIEUC" "17220211100016" "30001450584401" "JAUNE Base UM" "BT" NA "48" "48" "48" "48" NA NA "0" "0" "0" "0" "0" NA NA "0" "23868" "4611" "24100" "5361" NA NA "57940" "OUI"
"400" 645 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION DES SERVICES FISCAUX" "4 RUE SALLE GOURDINE" "22100" "DINAN" "17220221000164" "30001450600304" "JAUNE Base UL - Pas de Dénivelé" "BT" "72" "72" "72" "72" "72" NA NA "0" "0" "0" "0" "0" NA NA "0" "44060" "8735" "50480" "10095" NA NA "113370" "OUI"
"401" 646 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS DE GUINGAMP" "13 AVENUE JOHN FITZGERALD KENNEDY" "22200" "GUINGAMP" "17220221000073" "30001450771275" "JAUNE Base UL - Pas de Dénivelé" "BT" "72" "72" "72" "72" "72" NA NA "0" "0" "0" "0" "0" NA NA "0" "44544" "9291" "50494" "10880" NA NA "115209" "OUI"
"402" 647 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION SERVICES FISCAUX (ST BRIEUC)" "8 PLACE DU 74E RIT" "22000" "ST BRIEUC" "17220221000420" "30001450792419" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "32" "10" "30" "9" NA NA "0" "26342" "6429" "31347" "8398" NA NA "72516" "OUI"
"403" 648 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GENERALE DES CDN" "RUE DE LA GARE" "22000" "ST BRIEUC" "17220211100016" "30001450854516" "VERT Base A5 MU" "HTA1" "56" "56" "56" "56" "56" NA NA "36" "32" "10" "32" "10" NA NA "4981" "25471" "9823" "36338" "12900" NA NA "89513" "OUI"
"404" 649 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION SERVICES FISCAUX (LOUDEAC)" "4 RUE SAINT YVES" "22600" "LOUDEAC" "17220221000487" "30001451011604" "JAUNE Base UM" "BT" NA "60" "60" "60" "60" NA NA "0" "0" "0" "0" "0" NA NA "0" "28662" "5288" "34541" "6637" NA NA "75128" "OUI"
"405" 650 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS" "RUE ABBE GARNIER" "22000" "ST BRIEUC" "17220221000016" "30001451086715" "JAUNE Base UM" "BT" NA "168" "168" "168" "168" NA NA "0" "0" "0" "0" "0" NA NA "0" "96952" "18721" "119033" "25473" NA NA "260179" "OUI"
"406" 651 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS" "ROUTE DE PERROS" "22300" "LANNION" "17220221000016" "30001451136905" "JAUNE Base UM" "BT" NA "60" "60" "60" "60" NA NA "0" "0" "0" "0" "0" NA NA "0" "44037" "10181" "51789" "10770" NA NA "116777" "OUI"
"407" 652 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES FINANCES (CARHAIX PLOUGUER)" "BOULEVARD JEAN MOULIN" "29270" "CARHAIX PLOUGUER" "17290221500216" "30001460055782" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "21376" "6817" "23479" "6762" NA NA "58434" "OUI"
"408" 653 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GENERALE" "SQUARE MARC SANGNIER" "29200" "BREST" "17290211600018" "30001460249178" "JAUNE Base UL - Pas de Dénivelé" "BT" "48" "48" "48" "48" "48" NA NA "45" "41" "15" "39" "15" NA NA "1871" "32125.999999999996" "6702" "41344" "8941" NA NA "90984" "OUI"
"409" 654 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS" "RUE DUQUESNE" "29200" "BREST" "17290221500331" "30001460341548" "JAUNE Base UM" "BT" NA "204" "204" "204" "204" NA NA "0" "0" "0" "0" "0" NA NA "0" "133844" "24406" "162918" "32567" NA NA "353735" "OUI"
"410" 655 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "CITE ADMINISTRATIVE" "SQUARE MARC SANGNIER" "29200" "BREST" "17290221500331" "30001460391608" "JAUNE Base UL - Pas de Dénivelé" "BT" "60" "60" "60" "60" "60" NA NA "0" "0" "0" "0" "0" NA NA "0" "57108" "14412" "60292" "15020" NA NA "146832" "OUI"
"411" 656 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIR REG DES DOUANES DE BRETAGN" "14 QUAI DE LA DOUANE" "29200" "BREST" "17350231100033" "30001460565515" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "14666" "4162" "14251" "3895" NA NA "36974" "OUI"
"412" 657 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DGCCRF" "4 PLACE EDMONT PUYO" "29600" "ST MARTIN DES CHAMPS" NA "30001460766008" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "19636" "1639" "12286" "2368" NA NA "35929" "OUI"
"413" 658 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "PATROUILLEUR DES DOUANES" "2 QUAI DE LA DOUANE" "29200" "BREST" "17440230500018" "30001460849125" "JAUNE Base UM" "BT" NA "78" "78" "78" "78" NA NA "0" "0" "0" "0" "0" NA NA "0" "29201" "13471" "16764" "8286" NA NA "67722" "OUI"
"414" 659 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES FINANCES" "PLACE DU POULIET" "29600" "MORLAIX" "17340211600540" "30001464054701" "JAUNE Base UM" "BT" NA "66" "66" "66" "66" NA NA "0" "0" "0" "0" "0" NA NA "0" "60692" "12664" "79628" "17051" NA NA "170035" "OUI"
"415" 660 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS (QUIMPER)" "CITE ADMINIST DE TY NAY" "29000" "QUIMPER" "17290221500018" "30001470015978" "JAUNE Base UL - Pas de Dénivelé" "BT" "78" "78" "78" "78" "78" NA NA "0" "0" "0" "0" "0" NA NA "0" "51820" "14151" "48119" "9134" NA NA "123224" "OUI"
"416" 661 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION DES SERVICES FISCAUX" "36 RUE DES REGUAIRES" "29000" "QUIMPER" "17290221500018" "30001470247821" "JAUNE Base UL - Pas de Dénivelé" "BT" "48" "48" "48" "48" "48" NA NA "0" "0" "0" "0" "0" NA NA "0" "30593" "7960" "29580" "8491" NA NA "76624" "OUI"
"417" 662 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "CONSERVATIONS DES HYPOTHEQUES" "CENTRE COMMERCIAL DU BRADEN" "29000" "QUIMPER" "17290221500018" "30001470339297" "JAUNE Base UM" "BT" NA "60" "60" "60" "60" NA NA "0" "0" "0" "0" "0" NA NA "0" "43842" "18138" "23902" "7893" NA NA "93775" "OUI"
"418" 663 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES FINANCES" "LE POULIGOUDU" "29300" "QUIMPERLE" "17290221500810" "30001470348849" "JAUNE Base UL - Pas de Dénivelé" "BT" "48" "48" "48" "48" "48" NA NA "33" "44" "11" "0" "0" NA NA "714" "31026" "6483" "32383.000000000004" "7654" NA NA "78260" "OUI"
"419" 664 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "CITE ADMINISTRATIVE" "13 AVENUE SAINT SYMPHORIEN" "56000" "VANNES" "17560221800018" "30001480250333" "VERT Base A5 MU" "HTA1" "180" "180" "180" "180" "180" NA NA "192" "185" "45" "222" "44" NA NA "28814" "141625" "54928" "190429" "64422" NA NA "480218" "OUI"
"420" 665 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES FINANCES" "RUE BENJAMIN DELESSERT" "56100" "LORIENT" "17560211900315" "30001480416699" "JAUNE Base UL - Pas de Dénivelé" "BT" "90" "90" "90" "90" "90" NA NA "0" "0" "0" "0" "0" NA NA "0" "54483" "11273" "60195" "13766" NA NA "139717" "OUI"
"421" 666 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE DE LORIENT" "RUE BENJAMIN DELESSERT" "56100" "LORIENT" "17560211900323" "30001480718537" "JAUNE Base UL - Pas de Dénivelé" "BT" "72" "72" "72" "72" "72" NA NA "27" "26" "10" "23" "9" NA NA "1208" "21668" "7380" "21503" "7136" NA NA "58895" "OUI"
"422" 667 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "RESTAURANT ADMINISTRATIF" "12 RUE DU COLONEL POBEGUIN" "56000" "VANNES" "17560221800018" "30001481133569" "JAUNE Base UM" "BT" NA "54" "54" "54" "54" NA NA "0" "0" "0" "0" "0" NA NA "0" "21079" "3427" "30069" "5843" NA NA "60418" "OUI"
"423" 668 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS (PONTIVY)" "RUE ALBERT DE MUN" "56300" "PONTIVY" "17560221800224" "30001481149966" "JAUNE Base UM" "BT" NA "78" "78" "78" "78" NA NA "0" "0" "0" "0" "0" NA NA "0" "46328" "8846" "51304" "11636" NA NA "118114" "OUI"
"424" 669 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GENERALE" "35 BOULEVARD DE LA PAIX" "56000" "VANNES" "17560211900018" "30001481166304" "JAUNE Base UL - Dénivelé entre Hiver et Eté" "BT" "66" "66" "66" "96" "96" NA NA "0" "0" "0" "0" "0" NA NA "0" "56233" "14833" "66635" "19682" NA NA "157383" "OUI"
"425" 670 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "ETAT-SCE DOMAINES" "PLACE DU CHAMP DE MARS" "16000" "ANGOULEME" "17160221200010" "30001510112464" "VERT Base A5 MU" "HTA1" "111" "111" "111" "111" "111" NA NA "112" "105" "47" "98" "40" NA NA "16389" "82624" "32984" "100095" "33809" NA NA "265901" "OUI"
"426" 671 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "HOTEL DES IMPOTS" "RUE BARDON" "16100" "COGNAC" "17160221200218" "30001510136197" "VERT Base A5 MU" "HTA1" "60" "60" "60" "60" "60" NA NA "49" "54" "16" "38" "13" NA NA "5623" "28116" "11567" "35735" "13128" NA NA "94169" "OUI"
"427" 672 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GENERALE" "RUE SAINT ROCH" "16000" "ANGOULEME" "55212022200831" "30001510549167" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "34332" "11334" "39653" "12419" NA NA "97738" "OUI"
"428" 673 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GENERALE" "1730 1 RUE REAUMUR" "17000" "LA ROCHELLE" "17170211100013" "30001520081205" "JAUNE Base UM" "BT" NA "66" "66" "66" "66" NA NA "0" "26" "10" "22" "12" NA NA "0" "20984" "5854" "25250" "7312" NA NA "59400" "OUI"
"429" 674 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "MINISTERE DU BUDGET" "PASSAGE DE LA CORVETTE" "17000" "LA ROCHELLE" "13000721400013" "30001520566162" "JAUNE Base UL - Pas de Dénivelé" "BT" "42" "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "23366" "7991" "14654" "4814" NA NA "50825" "OUI"
"430" 675 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE PRINCIPALE DE ROYAN" "108 BOULEVARD DE LATTRE DE TASSIGNY" "17205" "ROYAN" "17170211100526" "30001521118005" "JAUNE Base UM" "BT" NA "60" "60" "60" "60" NA NA "0" "0" "0" "0" "0" NA NA "0" "21758" "9519" "9421" "3200" NA NA "43898" "OUI"
"431" 676 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESOR PUBLIC DE LA CHARENTE MARITIME" "7 RUE DE LA PORTE NEUVE" "17000" "LA ROCHELLE" "17170211100013" "30001521194470" "JAUNE Base UM" "BT" NA "60" "60" "60" "60" NA NA "0" "0" "0" "0" "0" NA NA "0" "26102" "5509" "11595" "2574" NA NA "45780" "OUI"
"432" 677 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIR DEPART FINANCES PUBLIQUES" "RUE CHASSELOUPS LAUBAT" "17000" "LA ROCHELLE" "17170211100013" "30001521338704" "VERT Base A5 MU" "HTA1" "175" "175" "175" "175" "175" NA NA "172" "175" "107" "124" "60" NA NA "33874" "161237" "94339" "118108" "44283" NA NA "451841" "OUI"
"433" 678 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "MEFI DGI DSF 79 - 00217" "124 BOULEVARD DE POITIERS" "79300" "BRESSUIRE" "17790221000448" "30001540021705" "JAUNE Base UL - Pas de Dénivelé" "BT" "54" "54" "54" "54" "54" NA NA "0" "0" "0" "0" "0" NA NA "0" "32548" "8565" "32951" "8430" NA NA "82494" "OUI"
"434" 679 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GALE DEUX SEVRES" "44 RUE ALSACE LORRAINE" "79000" "NIORT" "17790211100018" "30001540023832" "JAUNE Base UM" "BT" NA "84" "84" "84" "84" NA NA "0" "0" "0" "0" "0" NA NA "0" "35192" "11660" "39443" "13361" NA NA "99656" "OUI"
"435" 680 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GENERALE CREANCES S" "22 BOULEVARD DE BLOSSAC" "86100" "CHATELLERAULT" "16002118400017" "30001540295393" "JAUNE Base UL - Pas de Dénivelé" "BT" "48" "48" "48" "48" "48" NA NA "0" "0" "0" "0" "0" NA NA "0" "27468" "6690" "37873" "10895" NA NA "82926" "OUI"
"436" 681 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DD FIP FRANCE DOMAINE" "RUE DE L ANCIEN CHAMP DE FOIRE" "79000" "NIORT" "13000843600011" "30001540359731" "JAUNE Base UM" "BT" NA "48" "48" "48" "48" NA NA "0" "2" "2" "2" "2" NA NA "0" "844" "424" "976" "486" NA NA "2730" "OUI"
"437" 682 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "MEFI DGI DSF 86 SLOVENIE 03967" "15 RUE DE SLOVENIE" "86000" "POITIERS" "17860221500018" "30001540396748" "VERT Base A5 MU" "HTA1" "104" "104" "104" "104" "104" NA NA "97" "105" "24" "98" "19" NA NA "11722" "59951" "20654" "88620" "27774" NA NA "208721" "OUI"
"438" 683 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "MEFI DGI DSF 86 BRELANDIERE 04317" "37 RUE DE LA BRELANDIERE" "86100" "CHATELLERAULT" "17860221500091" "30001540431757" "JAUNE Base UL - Pas de Dénivelé" "BT" "54" "54" "54" "54" "54" NA NA "42" "49" "16" "46" "16" NA NA "1465" "30797" "7076" "37237" "8708" NA NA "85283" "OUI"
"439" 684 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "INSEE POITOU CHARENTES" "5 RUE SAINTE CATHERINE" "86000" "POITIERS" "17860270200015" "30001540434012" "VERT Base A5 MU" "HTA1" "90" "90" "90" "90" "90" NA NA "81" "92" "37" "68" "29" NA NA "10233" "50454" "29465" "70622" "33677" NA NA "194451" "OUI"
"440" 685 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "RESTAURANT INTER ADMINISTRATIF" "210 RUE DE STRASBOURG" "79000" "NIORT" "42935347700020" "30001540459858" "JAUNE Base UM" "BT" NA "96" "96" "96" "96" NA NA "0" "0" "0" "0" "0" NA NA "0" "34806" "19028" "48719" "24207" NA NA "126760" "OUI"
"441" 686 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "DIRECTION REGIONALE DES DOUANE" "32 RUE SALVADOR ALLENDE" "86000" "POITIERS" "17860231400019" "50040775179423" "JAUNE Base UM" "HTA1" "42" "42" "42" "42" "42" NA NA "23" "27" "11" "26" "10" NA NA "3887" "20996" "10909" "25331" "10493" NA NA "71616" "OUI"
"442" 687 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "MEFI DGI DSF 79 - 04884" "171 AVENUE DE PARIS" "79000" "NIORT" "17790221000018" "30001540488439" "JAUNE Base UM" "BT" NA "90" "90" "90" "90" NA NA "0" "65" "20" "56" "20" NA NA "0" "60524" "16395" "65747" "18764" NA NA "161430" "OUI"
"443" 688 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE MUNICIPALE" "13 RUE DE LA MARNE" "86000" "POITIERS" "17860211600018" "30001540570570" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "11377" "1912" "12654" "2328" NA NA "28271" "OUI"
"444" 689 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GENERALE VIENNE" "11 RUE RIFFAULT" "86000" "POITIERS" "17860211600018" "30001540652910" "JAUNE Base UL - Dénivelé entre Hiver et Eté" "BT" "156" "156" "156" "228" "228" NA NA "113" "113" "58" "111" "54" NA NA "5610" "104018" "30984" "146003" "45880" NA NA "332495" "OUI"
"445" 690 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "MEFI DGI DSF 79  04644" "BOULEVARD AMBROISE PARE" "79200" "PARTHENAY" "17790221000158" "30001540728400" "JAUNE Base UM" "BT" NA "42" "42" "42" "42" NA NA "0" "0" "0" "0" "0" NA NA "0" "24082" "5830" "27824" "7841" NA NA "65577" "OUI"
"446" 691 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "INSEE DIRECTION REGIONALE" "29 RUE BEYRAND" "87100" "LIMOGES" "10200000726921" "30001550166377" "VERT Base A5 MU" "HTA1" "60" "60" "60" "60" "60" NA NA "33" "39" "13" "33" "13" NA NA "5217" "29306" "16434" "41466" "19251" NA NA "111674" "OUI"
"447" 692 "Ministères économiques et financiers" "84.11Z" 110020013 NA 2015-11-01 "EDF" "TRESORERIE GENERALE HV" "31 RUE MONTMAILLER" "87000" "LIMOGES" "17870211400012" "30001550469329" "JAUNE Base UM" "BT" NA "102" "102" "102" "102" NA NA "0" "0" "0" "0" "0" NA NA "0" "60223" "12345" "63732" "14706" NA NA "151006" "OUI"
